id	year	title	authors	ident	corpora
capilla	2016	10 years of software architecture knowledge management: Practice and future	R. Capilla, A. Jansen, A. Tang, P. Avgeriou & M.A. Babar	JSS 116:191-205	swa-science
carniebigfour	2015	The Rule of The Big Four (and a half) — Move Semantics and Resource Management	G. Carnie		emb-cpp
carnieregisters	2017	Making things do stuff (register access using C++ templates), Parts 1-8	G. Carnie		emb-cpp
catch2	living	Catch2	P. Nash; maintainer M. Horenovsky	github.com/catchorg/Catch2	emb-cpp
catsoulis	UNRESOLVED	Designing Embedded Hardware	J. Catsoulis		emb-arch
cbam	2001	Quantifying the Costs and Benefits of Architectural Decisions (CBAM)	R. Kazman, J. Asundi & M. Klein	Proc. ICSE 2001	swa-science
ceedling	living	Ceedling (test/build manager, v1.0; bundles Unity + CMock + CException)	ThrowTheSwitch.org	github.com/throwtheswitch/ceedling	emb-c
certc	2014	The CERT C Coding Standard, 2nd ed. (98 Rules)	R.C. Seacord	Addison-Wesley, ISBN 978-0321984043	emb-c,swe-process
certcpp	2016	SEI CERT C++ Coding Standard (2016 Edition)	A. Ballman (ed.), SEI/CMU		emb-cpp,swe-process
certkits	living	IEC Certification Kit (ISO 26262 & IEC 61508) and DO Qualification Kit (DO-178C/DO-331)	MathWorks		simulink
cervanteskazman	2024	Designing Software Architectures: A Practical Approach, 2nd ed.	H. Cervantes & R. Kazman	Addison-Wesley SEI, ISBN 9780138108021	swa-science
checkcode	living	checkcode / Code Analyzer (formerly mlint)	MathWorks	mathworks.com/help/matlab/ref/checkcode.html	swe-process
chowdhury	2018	A Curated Corpus of Simulink Models for Model-Based Empirical Studies	S.A. Chowdhury et al.	SEsCPS@ICSE 2018	simulink
cipart1	living	Continuous Integration for Verification of Simulink Models (Part 1)	MathWorks		simulink,swe-process
cipart2	living	Continuous Integration for Verification of Simulink Models Using GitLab (Part 2)	MathWorks		simulink,swe-process
clangdocs	living	Clang Compiler User's Manual / Cross-compilation / Command Line Reference	The LLVM Project	clang.llvm.org	emb-ops
clangformat	living	clang-format	LLVM/Clang project	clang.llvm.org/docs/ClangFormat.html	emb-c,emb-cpp
clangtidy	living	clang-tidy	LLVM/Clang project	clang.llvm.org/extra/clang-tidy	emb-c,emb-cpp
cloudiotref	living	Azure IoT / AWS IoT Well-Architected reference architectures	Microsoft; AWS		emb-arch
cmake	living	CMake documentation / build organization for embedded C++	Kitware	cmake.org	emb-cpp,emb-ops,swe-process
cmock	living	CMock (mock/stub generator for C headers)	ThrowTheSwitch.org	github.com/throwtheswitch/cmock	emb-c
cmsis	living	CMSIS — Cortex Microcontroller Software Interface Standard	Arm		emb-arch
cohenreview	2006	Best Kept Secrets of Peer Code Review	J. Cohen (ed.) et al.	ISBN 978-1-59916-067-2	swe-process
commercialtools	living	Commercial static-analysis/coverage tool docs (VectorCAST, LDRA, Cantata, Polyspace, Coverity, Klocwork, Axivion, PVS-Studio, Parasoft, Bullseye, PC-lint Plus)	Various vendors		emb-cpp
compmodel	living	Component-Based Modeling in Simulink / Model Reference behavior docs	MathWorks		simulink
contdeliv	2010	Continuous Delivery	J. Humble & D. Farley	ISBN 978-0-321-60191-9	swe-process
contiki	2004	Contiki — a Lightweight and Flexible Operating System for Tiny Networked Sensors	A. Dunkels et al.		emb-arch
convcommits	living	Conventional Commits (v1.0.0)	Conventional Commits community	conventionalcommits.org	swe-process
cooling	UNRESOLVED	Software Engineering for Real-Time Systems / Real-Time Operating Systems series	J. Cooling		emb-arch
coreguidelines	living	C++ Core Guidelines	B. Stroustrup & H. Sutter (eds.)		emb-cpp,swe-process
cppcheck	living	cppcheck (with MISRA addon)	D. Marjamaki et al.	cppcheck.sourceforge.io	emb-cpp
cpputest	living	CppUTest / CppUMock	cpputest project	cpputest.github.io	emb-cpp
crosstoolng	living	crosstool-NG documentation	crosstool-ng project	crosstool-ng.github.io	emb-ops
csapp	2016	Computer Systems: A Programmer's Perspective, 3rd ed. (linking chapter)	R. Bryant & D. O'Hallaron	Pearson	emb-ops
csmith	2011	Finding and Understanding Bugs in C Compilers (Csmith)	X. Yang, Y. Chen, E. Eide & J. Regehr	PLDI 2011 pp.283-294, DOI 10.1145/1993498.1993532	emb-ops
dagstuhl16	2016	Managing Technical Debt in Software Engineering	P. Avgeriou, P. Kruchten, I. Ozkaya & C. Seaman	Dagstuhl Reports 6(4):110-138	swa-science
darwin	1996	Dynamic Structure in Software Architectures (Darwin)	J. Magee & J. Kramer	Proc. FSE-4; ACM SIGSOFT SEN 21(6):3-14	swa-science
datadict	living	Simulink Data Dictionary documentation	MathWorks		simulink
deissenboeck	2008	Clone Detection in Automotive Model-Based Development	F. Deissenboeck, B. Hummel, E. Juergens, B. Schaetz, S. Wagner, J.-F. Girard & S. Teuchert		simulink
diataxis	living	Diátaxis — a systematic framework for technical documentation	D. Procida	diataxis.fr	swe-process
dietzintoverflow	2015	Understanding Integer Overflow in C/C++	W. Dietz, P. Li, J. Regehr & V. Adve	DOI 10.1145/2743019	emb-c
diffmergeci	living	Set Up Simulink Diff and Merge in CI/CD Pipeline	MathWorks		simulink
dlmalloc	2000	A Memory Allocator (dlmalloc essay)	D. Lea	gee.cs.oswego.edu/dl/html/malloc.html	emb-ops
do178c	2011	RTCA DO-178C / EUROCAE ED-12C — Software Considerations in Airborne Systems and Equipment Certification	RTCA/EUROCAE		emb-arch
do331	2011	RTCA DO-331 / EUROCAE ED-218 — Model-Based Development and Verification Supplement to DO-178C and DO-278A	RTCA		simulink
do332	2011	DO-332 Object-Oriented Technology and Related Techniques Supplement to DO-178C and DO-278A	RTCA		emb-cpp
dobrica	2002	A Survey on Software Architecture Analysis Methods	L. Dobrica & E. Niemela	IEEE TSE 28(7):638-653	swa-science
doctest	living	doctest	V. Kirilov	github.com/doctest/doctest	emb-cpp
doors	living	Working with IBM DOORS / DOORS Next requirements docs	MathWorks		simulink
dora	living	DORA — DevOps Research and Assessment / State of DevOps	DORA (Google Cloud)	dora.dev	swe-process
douglassagility	UNRESOLVED	Real-Time Agility / Real-Time UML Workshop for Embedded Systems	B.P. Douglass		emb-arch
douglasspatternsc	2011	Design Patterns for Embedded Systems in C: An Embedded Software Engineering Toolkit	B.P. Douglass	Newnes, ISBN 978-1-85617-707-8	emb-arch,emb-c
douglassrtcorpus	living	Real-Time Design Patterns; Doing Hard Time; Real-Time UML	B.P. Douglass		emb-arch
doxygen	living	Doxygen (manual, current)	D. van Heesch	doxygen.nl/manual	emb-c,emb-cpp,swe-process
drepperlibs	2011	How To Write Shared Libraries	U. Drepper	Free PDF	emb-c,emb-ops
dreppermem	2007	What Every Programmer Should Know About Memory	U. Drepper		emb-ops
drl	1991	What's in Design Rationale? (DRL)	J. Lee & K.-Y. Lai	HCI 6(3-4):251-280	swa-science
dsimonprimer	1999	An Embedded Software Primer	D.E. Simon	Addison-Wesley	emb-arch
dspacecompare	living	dSPACE Model Compare	dSPACE GmbH		simulink
dspaceguide	living	Modeling Guidelines for MATLAB/Simulink/Stateflow and TargetLink	dSPACE GmbH		simulink
dutoit	2006	Rationale Management in Software Engineering	A.H. Dutoit, R. McCall, I. Mistrik & B. Paech (eds.)	Springer	swa-science
dvorak	2009	Flight Software Complexity (NASA study)	D. Dvorak (ed.)		emb-arch
dwarf5	2017	DWARF Debugging Information Format, Version 5	DWARF Committee	dwarfstd.org	emb-ops
eafparm	UNRESOLVED	Embedded Artistry posts (Demystifying ARM Floating Point Compiler Options; libmemory docs)	Embedded Artistry	embeddedartistry.com	emb-ops
eastadl	living	EAST-ADL	EAST-ADL Association		emb-arch
eastl	2007	EASTL — Electronic Arts Standard Template Library (WG21 N2271)	P. Pedriana	open-std.org; github.com/electronicarts/EASTL	emb-cpp
ebertjones	2009	Embedded Software: Facts, Figures, and Future	C. Ebert & C. Jones	IEEE Computer 2009	emb-arch
ecpp	1999	The Embedded C++ (EC++) specification, WP-AM-003	Embedded C++ Technical Committee		emb-cpp
ecss	UNRESOLVED	ESA ECSS-E-ST-40C and ECSS-Q-ST-80C	ESA/ECSS		emb-arch
editorconfig	living	EditorConfig	EditorConfig project	editorconfig.org	emb-c
ehabi32	2018	Exception Handling ABI for the Arm Architecture (EHABI32)	Arm Ltd (ABI-AA)	github.com/ARM-software/abi-aa	emb-ops
eideregehr	2008	Volatiles Are Miscompiled, and What to Do about It	E. Eide & J. Regehr		emb-c
elfspec	1995	Tool Interface Standard (TIS) ELF Specification, Version 1.2 (+ System V gABI)	TIS Committee	refspecs.linuxfoundation.org/elf/elf.pdf	emb-ops
embeddedcoder	living	Embedded Coder documentation + production-code modeling patterns	MathWorks		simulink
embeddedrust	living	The Embedded Rust Book / Discovery book / Ferrous Systems materials	Rust Embedded WG; Ferrous Systems		emb-arch
emeryhilliard	2009	Every Architecture Description Needs a Framework: Expressing Architecture Frameworks Using ISO/IEC 42010	D. Emery & R. Hilliard	Proc. WICSA/ECSA 2009	swa-science
en50128	2020	EN 50128:2011 (+A1/A2:2020) — Railway applications — Software for railway control and protection systems	CENELEC		emb-arch
esa	2001	Evaluating Software Architectures: Methods and Case Studies	P. Clements, R. Kazman & M. Klein	Addison-Wesley	swa-science
espidf	living	ESP-IDF architecture docs	Espressif		emb-arch
etl	living	Embedded Template Library (ETL)	J. Wellbelove (Aster Consulting)	etlcpp.com, MIT	emb-cpp
ettermtw	2016	Modern Technical Writing	A. Etter	ASIN B01A2QL9SS	swe-process
exhale	living	Exhale (automatic C/C++ API docs via Doxygen + Sphinx + Breathe)	S. McDowell (svenevs)	github.com/svenevs/exhale	emb-c,swe-process
fagan	1976	Design and Code Inspections to Reduce Errors in Program Development	M.E. Fagan	IBM Systems Journal 15(3):182-211	emb-c,swe-process
falessi	2011	Decision-making techniques for software architecture design: A comparative survey	D. Falessi, G. Cantone, R. Kazman & P. Kruchten	ACM Computing Surveys 43(4) Art.33	swa-science
fanrt	2015	Real-Time Embedded Systems	X. Fan	Elsevier	emb-arch
feilergluch	2012	Model-Based Engineering with AADL: An Introduction to the SAE Architecture Analysis & Design Language	P.H. Feiler & D.P. Gluch	Addison-Wesley SEI	swa-science,emb-arch
fixedpoint	living	Fixed-Point Designer documentation	MathWorks		simulink
fowlerci	living	Continuous Integration	M. Fowler	martinfowler.com/articles/continuousIntegration.html	swe-process
fowlerref	UNRESOLVED	Refactoring	M. Fowler		emb-arch
framac	2015	Frama-C: A Software Analysis Perspective	P. Cuoq, F. Kirchner, N. Kosmatov, V. Prevosto, J. Signoles & B. Yakobowski	DOI 10.1007/s00165-014-0326-7	emb-c
freertosbook	living	Mastering the FreeRTOS Real-Time Kernel	FreeRTOS project		emb-arch
freertosheap	living	FreeRTOS memory management (heap_1 ... heap_5)	FreeRTOS project / Amazon	freertos.org	emb-ops
fuerst	UNRESOLVED	AUTOSAR — A Worldwide Standard is on the Road	S. Fuerst et al.		emb-arch
furber	UNRESOLVED	ARM System-on-Chip Architecture	S. Furber		emb-arch
gajski	UNRESOLVED	Embedded System Design: Modeling, Synthesis and Verification	D. Gajski et al.		emb-arch
galster	2011	Empirically-grounded reference architectures: a proposal	M. Galster & P. Avgeriou	Proc. QoSA/ISARCS 2011	swa-science
ganssle	UNRESOLVED	The Art of Designing Embedded Systems; The Firmware Handbook (ed.); The Embedded Muse newsletter	J. Ganssle		emb-arch
garlan14	2014	Software Architecture: a Travelogue	D. Garlan	Proc. FOSE 2014	swa-science
garlanshaw93	1993	An Introduction to Software Architecture	D. Garlan & M. Shaw	Adv. SE & KE Vol.1, World Scientific	swa-science
gccmanual	living	Using the GNU Compiler Collection (GCC) — incl. Optimize Options chapter and -fstack-usage	GNU Project / FSF	gcc.gnu.org/onlinedocs/gcc	emb-ops
gdbmanual	living	Debugging with GDB, Tenth Edition	Free Software Foundation	sourceware.org/gdb	emb-ops
gendesign	2007	A General Model of Software Architecture Design Derived from Five Industrial Approaches	C. Hofmeister, P. Kruchten, R.L. Nord, H. Obbink, A. Ran & P. America	JSS 80(1):106-126	swa-science
gerlitz	2015	Detection and Handling of Model Smells for MATLAB/Simulink Models	T. Gerlitz, Q.M. Tran & C. Dziobek	MASE@MoDELS 2015, CEUR Vol-1487	simulink
gitflow	2010	A successful Git branching model (git-flow)	V. Driessen	nvie.com/posts/a-successful-git-branching-model/	swe-process
githubflow	living	GitHub flow	GitHub	docs.github.com	swe-process
gitlabci	living	GitLab CI/CD documentation	GitLab	docs.gitlab.com/ci/	swe-process
gitlabflow	living	GitLab flow	GitLab	about.gitlab.com/topics/version-control/what-is-gitlab-flow/	swe-process
gnuinternals	living	GNU (GCC) Internals manual	GNU Project		emb-ops
godbolt	2017	What Has My Compiler Done for Me Lately? + Compiler Explorer	M. Godbolt	godbolt.org	emb-cpp,emb-ops
gof	1994	Design Patterns: Elements of Reusable Object-Oriented Software	E. Gamma, R. Helm, R. Johnson & J. Vlissides	Addison-Wesley, ISBN 978-0-201-63361-0	emb-arch
gomaa	2016	Real-Time Software Design for Embedded Systems	H. Gomaa	Cambridge UP, ISBN 978-1-107-04109-7	emb-arch
googleeng	living	Code Review Developer Guide (Google eng-practices)	Google	google.github.io/eng-practices/review/	swe-process
googlestyle	living	Google C++ Style Guide	Google		emb-cpp,swe-process
googletest	living	GoogleTest / GoogleMock	Google	google.github.io/googletest	emb-cpp
graaf	2003	Embedded software engineering: the state of the practice	B. Graaf, M. Lormans & H. Toetenel	IEEE Software 2003	emb-arch
grenningtdd	2011	Test-Driven Development for Embedded C	J.W. Grenning	Pragmatic Bookshelf, ISBN 978-1-934356-62-3	emb-arch,emb-c,emb-cpp
gsl	living	Guideline Support Library (GSL)	Microsoft / isocpp	github.com/microsoft/GSL	emb-cpp
gtkdoc	living	GTK-Doc (GNOME C API documentation tool)	GNOME project	gitlab.gnome.org/GNOME/gtk-doc	emb-c,swe-process
gustedt	UNRESOLVED	Modern C (3rd ed., C23)	J. Gustedt		emb-c
guyblog	2016	Three-Way Model Merge and Git	Guy on Simulink (MathWorks blog)		simulink,swe-process
hallinan	UNRESOLVED	Embedded Linux Primer	C. Hallinan		emb-arch
hanmer	UNRESOLVED	Patterns for Fault Tolerant Software	R. Hanmer		emb-arch
hanson	1996	C Interfaces and Implementations: Techniques for Creating Reusable Software	D.R. Hanson	Addison-Wesley, ISBN 978-0201498417	emb-c
hardfaultblog	living	How to debug a HardFault on an ARM Cortex-M MCU	C. Coleman	interrupt.memfault.com	emb-ops
hatleypirbhai	UNRESOLVED	Strategies for Real-Time System Specification	D. Hatley & I. Pirbhai		emb-arch
hatton95	1995	Safer C: Developing Software for High-Integrity and Safety-Critical Systems	L. Hatton	McGraw-Hill, ISBN 978-0077076405	emb-c
hattonsubset	2004	Language subsetting in an industrial context: MISRA C 1998 vs 2004 / Safer language subsets: MISRA C	L. Hatton	IST 46(7):465-472	emb-c
hauserblog	2015	Typesafe Register Access in C++	N. Hauser	blog.salkinium.com	emb-cpp
hawkmoth	living	Hawkmoth (Sphinx C/C++ autodoc via Clang)	J. Nikula	github.com/jnikula/hawkmoth	emb-c,swe-process
heath	UNRESOLVED	Embedded Systems Design	S. Heath	Newnes	emb-arch
henzingersifakis	2006	The Embedded Systems Design Challenge	T. Henzinger & J. Sifakis	FM 2006	emb-arch
hicpp	2013	High Integrity C++ Coding Standard v4.0	PRQA (now Perforce)		emb-cpp,swe-process
hobbs	2019	Embedded Software Development for Safety-Critical Systems, 2nd ed.	C. Hobbs	CRC Press, ISBN 978-0-367-33885-5	emb-arch
hofmeister00	2000	Applied Software Architecture	C. Hofmeister, R. Nord & D. Soni	Addison-Wesley	swa-science
holmestalk	2019	Hey C, This Is What Performance Looks Like	O. Holmes		emb-cpp
holzmannp10	2006	The Power of Ten: Rules for Developing Safety-Critical Code	G.J. Holzmann	IEEE Computer 39(6):95-99, DOI 10.1109/MC.2006.212	emb-arch,emb-c
humphreypsp	1997	Introduction to the Personal Software Process	W.S. Humphrey	ISBN 978-0-201-54809-9	swe-process
hutheses	UNRESOLVED	HU Utrecht / RWTH Aachen embedded-C++ HAL/metaprogramming theses	Various students		emb-cpp
hwlib	living	hwlib	W. van Ooijen (HU; SG14)	github.com/wovo/hwlib	emb-cpp
ibis	1970	Issues as Elements of Information Systems (IBIS)	W. Kunz & H.W.J. Rittel	Working Paper 131, IURD, UC Berkeley	swa-science
iec61508	2010	IEC 61508:2010 — Functional safety of E/E/PE safety-related systems (Ed. 2.0, 7 parts)	IEC		emb-arch
iec62304	2015	IEC 62304:2006 (+AMD1:2015) — Medical device software — Software life cycle processes	IEC		emb-arch
ieee828	2012	IEEE 828-2012 — Configuration Management in Systems and Software Engineering	IEEE	IEEE 828-2012; ISBN 978-0-7381-7134-0	swe-process
iglberger	2022	C++ Software Design: Design Principles and Patterns for High-Quality Software	K. Iglberger	OReilly, ISBN 978-1-098-11316-2	emb-cpp
iira	living	Industrial Internet Reference Architecture (IIC)	Industry IoT Consortium		emb-arch
iso12207	2017	ISO/IEC/IEEE 12207:2017 — Software life cycle processes	ISO/IEC/IEEE	ISO/IEC/IEEE 12207:2017; iso.org/standard/63712.html	swe-process
iso25010	2023	ISO/IEC 25010:2023 — SQuaRE — Product quality model	ISO/IEC		swa-science
iso26262	2018	ISO 26262:2018 — Road vehicles — Functional safety (2nd ed., 12 parts)	ISO		emb-arch
iso26262p6	2018	ISO 26262-6:2018 — Road vehicles — Functional safety — Part 6: Product development at the software level	ISO		simulink
iso42010	2022	ISO/IEC/IEEE 42010:2022 — Software, systems and enterprise — Architecture description	ISO/IEC/IEEE		swa-science,emb-arch
itaniumabi	living	Itanium C++ ABI	Itanium C++ ABI group	itanium-cxx-abi.github.io	emb-ops
janeliu	2000	Real-Time Systems	J.W.S. Liu	Prentice Hall	emb-arch
jansenbosch	2005	Software Architecture as a Set of Architectural Design Decisions	A. Jansen & J. Bosch	Proc. WICSA 2005 pp.109-120	swa-science
jmaab	2023	JMAAB Control Algorithm Modeling Guidelines, v5.1 / v6.0	Japan MATLAB Automotive Advisory Board		simulink,swe-process
johnsonbook	2010	The Elements of MATLAB Style	R.K. Johnson	Cambridge UP, ISBN 978-0-521-73258-1	simulink,swe-process
johnsonguide	living	MATLAB Style Guidelines 2.0 / MATLAB Programming Style Guidelines	R. Johnson		simulink,swe-process
jplstd	2009	JPL Institutional Coding Standard for the C Programming Language	NASA/JPL Laboratory for Reliable Software		emb-c,swe-process,emb-arch
jsfav	2007	JSF Air Vehicle C++ Coding Standards	Lockheed Martin		emb-cpp,swe-process
jusiaktalks	2018	State Machines Battlefield / [Boost].DI - Inject all the things!	K. Jusiak		emb-cpp
kandr	1988	The C Programming Language, 2nd ed.	B.W. Kernighan & D.M. Ritchie	Prentice Hall, ISBN 978-0131103627	emb-c
kensmith	2010	C++ Hardware Register Access Redux	K. Smith	Self-published whitepaper, Feb 2010	emb-cpp
kerneldoc	living	kernel-doc (Linux kernel documentation system)	Linux kernel community	docs.kernel.org/doc-guide/kernel-doc.html	emb-c
kernelstyle	living	Linux kernel coding style	Linux kernel community	Documentation/process/coding-style.rst	emb-c,swe-process
knuthlit	1992	Literate Programming	D.E. Knuth	CSLI Lecture Notes 27, ISBN 0-937073-80-6	emb-c
koopmanbess	2010	Better Embedded System Software	P. Koopman	Drumnadrochit Press, ISBN 978-0-9844490-0-2	emb-arch,emb-c
kopetz	2022	Real-Time Systems: Design Principles for Distributed Embedded Applications	H. Kopetz	Springer, DOI 10.1007/978-3-031-11992-7	emb-arch
kopetzbauer	2003	The Time-Triggered Architecture	H. Kopetz & G. Bauer	Proc. IEEE 2003	emb-arch
kormanyos	2021	Real-Time C++: Efficient Object-Oriented and Template Microcontroller Programming, 4th ed.	C. Kormanyos	Springer, ISBN 978-3-662-62995-6	emb-cpp,emb-ops
kramermagee	2007	Self-Managed Systems: an Architectural Challenge	J. Kramer & J. Magee	Proc. FOSE 2007	swa-science
kruchten	1995	Architectural Blueprints — The 4+1 View Model of Software Architecture	P. Kruchten	IEEE Software 12(6):42-50	swa-science,emb-arch
kvasir	living	Kvasir register-abstraction library	O. Holmes	kvasir.io	emb-cpp
l4liedtke	UNRESOLVED	L4 microkernel papers	J. Liedtke		emb-arch
labrosse	2009	MicroC/OS-III: The Real-Time Kernel (also MicroC/OS-II; Embedded Systems Building Blocks)	J.J. Labrosse	Micrium Press	emb-arch
lacamera	2023	Embedded Systems Architecture	D. Lacamera	Packt, ISBN 978-1-80323-954-5	emb-arch,emb-cpp
